Sample Size (N),Trial Number,Deviation in κ2,Deviation in κ3,Deviation in κ4
1000,1,0.003072364211840581,0.0013440526495796074,0.0009451629956632353
1000,2,0.00014076913258810608,0.0004072791340318618,5.213337974172092e-05
1000,3,0.001759184509523698,0.001556771146968503,0.0007276534186363513
1000,4,0.0035904156565697704,0.0017627831545746224,0.0005223841756451415
1000,5,0.004281916759115892,0.0012669023851701064,0.0005940018790116675
5000,1,0.002025085287247,4.760562833270728e-05,0.00039961572913557643
5000,2,0.0004191609039349703,0.0003014150225272522,9.769045813462149e-06
5000,3,0.0006175209074909954,0.00028210636534100524,0.00026150479485121357
5000,4,0.0007739678318195442,0.0009228578626191963,0.00027212879444305817
5000,5,0.00040403282986302413,0.00013579202455315446,9.140005131621706e-05
10000,1,0.001127590632800296,0.0001707638630058011,1.4346957789903962e-05
10000,2,0.0005640133967464156,0.00018569957667471747,1.9610455264025897e-05
10000,3,0.0006893707884238071,0.0003723728880362478,0.0003058286779064395
10000,4,0.0009336182486787831,0.000827610161841965,0.00024463629978368
10000,5,8.85491001591382e-05,0.00020967627626474963,3.4782088340033768e-06
50000,1,0.00023846101707607203,1.566128051129663e-05,5.089044240308253e-06
50000,2,0.00011383351544334841,0.00010026802830276007,7.2996519996613995e-06
50000,3,0.0003723898255805075,0.00010300286817593934,0.00010625287946671932
50000,4,5.597978060091491e-05,7.101413766810662e-05,3.747610795214965e-05
50000,5,0.0006043513263919442,1.0939187293425647e-05,0.00020603124949060067
100000,1,0.00014992341029848588,2.265599409696018e-05,5.717059735027043e-05
100000,2,0.00010826523016091438,0.00011982552230051599,7.779826829720435e-06
100000,3,1.1311242657519038e-06,7.423941267111353e-05,2.096709665658225e-05
100000,4,0.00016383299553379693,1.8627052416138683e-05,1.1701234610443298e-05
100000,5,0.0005759168404331633,0.00010763203670269527,8.534794833687555e-05
500000,1,0.00016265010407097436,2.2401829525349738e-05,5.5190526734100014e-05
500000,2,6.851150168006581e-05,6.100335643349876e-05,4.630928696601998e-05
500000,3,9.913114854055716e-05,3.7607917453098336e-05,4.256507527920089e-07
500000,4,0.0002145547020572236,6.906255599328418e-05,3.5966526962593476e-05
500000,5,1.6355096974354777e-05,2.211727537959402e-05,5.183345738840953e-06
1000000,1,7.083950421357676e-05,5.556619245010005e-07,2.8709157731536192e-05
1000000,2,0.00011044689699279964,5.516721470397458e-05,1.934929715818358e-05
1000000,3,5.832923255756628e-05,6.774716524598221e-05,1.3808091773308273e-05
1000000,4,6.324740143986984e-05,2.688173359333451e-05,1.2483260534133095e-05
1000000,5,5.5988458664307794e-05,1.1301670735355778e-05,9.493935133929668e-06
5000000,1,5.582095098867479e-05,1.0495091910789503e-05,1.0218903747664584e-05
5000000,2,3.273234155401483e-05,2.8337191623403343e-05,7.83433068891632e-06
5000000,3,4.2754053497226496e-05,7.221956368977685e-06,6.456469560342168e-06
5000000,4,8.719553279259995e-06,1.1259858675013011e-05,5.470796081453837e-06
5000000,5,9.178514828554751e-05,1.2941826263922988e-08,2.1096997549133537e-05
10000000,1,1.7925879900404507e-05,1.5001884531087414e-05,1.3094496830743166e-06
10000000,2,4.7117290828277425e-05,1.5151548019660514e-06,1.6506387007907825e-05
10000000,3,3.7411088672084647e-06,9.007646895458623e-06,4.196664120283654e-06
10000000,4,3.0055360655950603e-06,3.526023725450143e-06,1.0814791264607271e-07
10000000,5,2.3775364705422297e-05,1.4286868199849986e-06,4.812827186544827e-06
